Acc_X_lf,Acc_Y_lf,Acc_Z_lf,Acc_X_rf,Acc_Y_rf,Acc_Z_rf
7.794798851,0.747045338,-1.728272319,9.248102188,-1.970364451,0.623760819
7.428163052,0.220823631,-2.32486248,9.538085938,-1.430688858,1.037876725
7.662335396,-0.353591889,-2.500238657,9.864630699,-0.775501668,0.919561923
7.837003231,-0.492840677,-2.164427519,10.18197632,-0.917944252,0.518970728
8.223558426,-0.100078478,-1.771939635,10.06901073,-1.104155898,0.558642864
8.726052284,0.562249362,-1.070064902,9.765685081,-1.215363979,0.158136085
9.292656898,1.560838819,-0.481328577,9.671648979,-1.419121385,0.128610671
9.549550056,2.092581749,0.149687827,9.662822723,-1.426656365,0.216306448
9.82592392,2.453021049,0.943296909,9.716601372,-1.349240422,0.38010028
10.62267971,3.590854645,1.152536273,9.597503662,-1.15959239,0.540446699
11.30786514,4.498913765,1.842289209,9.301093102,-1.111304045,0.281444728
10.41047382,4.035179138,2.064915419,9.297826767,-1.11669755,-0.364992976
8.8583498,2.275188923,0.26252383,9.549300194,-1.282495022,-0.739741862
7.624975681,0.300497472,-1.203921795,9.706536293,-1.352759838,-0.69175595
7.657105446,-0.980870008,-1.682145238,9.75590992,-1.087540627,-0.588156164
8.393134117,-0.289030284,-2.171854019,9.747802734,-0.959873259,-0.329497606
8.839000702,1.522041202,-1.773846984,9.842448235,-1.205698133,-0.057487026
8.588068962,2.781592846,-1.079976797,9.576029778,-0.977534533,0.295222461
8.062612534,3.039422035,-0.461306572,9.391108513,-0.641203701,-0.230870917
7.630411148,2.332387686,0.043083787,9.850916862,-0.824082792,0.466637373
7.300517082,1.129667759,0.155998468,9.5103302,-0.182822898,1.130147934
7.265357494,0.33229208,-0.281736821,9.368432045,-0.083671883,1.125733495
7.641133308,0.210825741,-0.455373496,9.464299202,0.068589866,0.500147402
8.135353088,0.899815619,-0.624638021,9.609277725,0.000857624,-0.278550774
8.643774033,2.277262688,-0.934776187,9.796345711,-0.127981812,-0.60652113
8.954175949,3.999771118,-0.756153464,9.876695633,-0.201741382,-0.893178284
9.389505386,6.122974873,-0.967317402,9.796907425,-0.275062531,-1.106522083
9.797706604,7.88109684,-0.904870093,9.763717651,-0.372446895,-1.14323926
10.04526329,9.287992477,-1.445521355,9.692525864,-0.161568582,-1.148997307
10.61423302,9.913928986,-2.147875071,9.562423706,0.256343305,-1.176125407
10.72269917,9.160201073,-2.656415224,9.428349495,0.73314786,-1.060530305
10.57177734,7.170669079,-2.98543787,9.94487381,0.807670951,0.150749937
10.08989239,4.544974804,-2.22202611,9.46244812,1.212875128,0.76247853
9.553183556,2.48989892,-1.111698151,9.6083498,0.970807433,0.418637991
8.899869919,2.189460278,-0.395054579,9.577565193,0.46607101,-0.038568117
8.332790375,2.761991024,-0.716915965,9.457363129,0.055476081,-0.155210346
8.744809151,2.594941139,-1.118454576,9.369172096,-0.249161392,-0.627295971
8.951365471,2.101634502,-0.929712534,9.523900032,0.023513561,-0.704873443
9.439826965,2.66127634,-1.272823453,9.467217445,0.147056907,-0.234514952
