Acc_X_lf,Acc_Y_lf,Acc_Z_lf,Acc_X_rf,Acc_Y_rf,Acc_Z_rf
9.981216431,1.035156608,-0.349687904,9.784129143,-0.756838739,0.026724098
10.00599575,1.122396111,-0.44270283,9.815695763,-0.812544286,-0.130484492
9.992882729,1.199049473,-0.679272056,9.770718575,-0.857458174,-0.173917949
9.805665016,1.16996038,-0.772268057,9.736836433,-0.867282391,-0.192124352
9.637766838,1.296874523,-0.854524791,9.710249901,-0.89172709,-0.06495972
9.589435577,1.410661578,-0.925321579,9.687866211,-0.801333308,0.007932702
9.511033058,1.358434916,-1.089373112,9.658592224,-0.706349254,0.091640934
9.466939926,1.333671927,-1.146242499,9.74041748,-0.660507381,0.042228471
9.605461121,1.505495191,-1.22198534,9.748450279,-0.678040087,-0.083172396
9.710567474,1.611122966,-1.207168341,9.784584045,-0.716296017,-0.116677746
9.73018837,1.619560599,-1.206850886,9.7710886,-0.669120014,-0.16811195
9.656177521,1.57514143,-1.176779509,9.773421288,-0.726210296,-0.19595173
9.553333282,1.537699461,-1.119851708,9.763466835,-0.730561376,-0.223189935
9.481609344,1.586684823,-1.164781928,9.74912262,-0.728203416,-0.20314531
9.475945473,1.541816592,-1.195095658,9.732983589,-0.700953126,-0.039247107
9.47854805,1.455568075,-1.149895906,9.743380547,-0.614685059,0.116854519
9.460679054,1.344456553,-1.045137644,9.717375755,-0.486567587,0.06354674
9.593676567,1.313672662,-1.02814281,9.742163658,-0.598683774,-0.091352716
9.709834099,1.335959673,-0.97824949,9.808612823,-0.66241467,0.016041331
9.755018234,1.415781856,-0.908330917,9.819264412,-0.640286863,0.156611979
9.732651711,1.497160673,-0.88193804,9.741786003,-0.60565871,0.143815562
9.744748116,1.5169698,-0.876740754,9.785264969,-0.618911624,-0.060354728
9.708116531,1.533896089,-0.912195921,9.798163414,-0.791416287,-0.164535031
9.703104973,1.560637712,-0.97047776,9.833449364,-0.75138855,0.085514985
9.670935631,1.57104516,-0.991948843,9.781045914,-0.6639781,0.310041398
9.653203011,1.607578516,-1.077643037,9.666371346,-0.780137122,0.21639955
9.661623955,1.622844934,-1.080660701,9.612605095,-0.933866322,0.185986713
9.657978058,1.641444325,-1.10723567,9.598567009,-0.794990361,0.207610294
9.701410294,1.658124924,-1.159292221,9.720069885,-0.652577639,0.055992343
9.710900307,1.654387832,-1.17377317,9.840565681,-0.720119119,0.057679232
9.704250336,1.690017223,-1.195832253,9.837765694,-0.815270424,0.164174274
9.667494774,1.58033371,-1.244674802,9.727337837,-0.672868609,0.299437553
9.668981552,1.561675549,-1.315916061,9.631679535,-0.709265053,0.2019317
9.670085907,1.552207828,-1.324813366,9.749333382,-0.808154345,0.041055329
9.658432961,1.577748775,-1.254956603,9.83069706,-0.912750483,0.087292425
9.635534286,1.743447304,-1.233455181,9.726264954,-0.889935851,0.26928845
9.65098381,1.702315688,-1.274106503,9.665866852,-0.751396716,0.118991673
9.655486107,1.616866946,-1.262772441,9.715507507,-0.913909793,0.064970672
9.632369995,1.597003102,-1.305471063,9.6577034,-0.960586071,0.016028354
9.60135746,1.692258835,-1.300683856,9.670393944,-0.929131031,-0.134242252
9.549104691,1.751101494,-1.303391814,9.779797554,-0.920516312,-0.213533476
9.526509285,1.756284356,-1.319940448,9.803481102,-0.880646586,-0.178835958
9.570402145,1.744369507,-1.321490049,9.80862236,-0.792597294,-0.317126393
9.580161095,1.791094422,-1.314345598,9.897149086,-0.953059614,-0.373057872
9.563215256,1.858094692,-1.372172236,9.88949585,-1.021715403,0.03910454
9.556177139,1.866639376,-1.314821601,9.760209084,-0.965328634,0.574064434
9.525051117,1.966194034,-1.241516232,9.685268402,-0.92035377,0.855328321
9.484792709,1.970325351,-1.194670439,9.617535591,-1.042452812,0.935656071
9.485888481,2.0395298,-1.159395695,9.511171341,-1.232931018,0.739579976
9.527599335,2.031841993,-1.114555836,9.444344521,-1.262399554,0.567310214
9.61714077,1.923309207,-1.077241898,9.46169281,-1.142217159,0.178499252
9.623329163,1.764999151,-1.040197372,9.673326492,-1.073653936,-0.469133466
9.598887444,1.611609697,-0.944739223,9.805473328,-1.277127743,-1.062892079
9.548272133,1.548008204,-0.877362549,9.988552094,-1.451665521,-1.190120578
9.559256554,1.561920524,-0.870562434,9.937579155,-1.331267834,-0.580426276
9.632610321,1.680853486,-0.922203004,9.851326942,-1.257142186,0.070948951
9.698580742,1.808696628,-0.909873188,9.829418182,-1.179815412,0.385902941
9.642957687,1.888976932,-0.878194809,9.626873016,-1.315748572,0.50422281
9.590403557,1.939019442,-0.806787372,9.538847923,-1.39785409,0.734290242
9.635637283,1.910153866,-0.825417161,9.487754822,-1.547309637,0.662395179
9.694964409,1.834171414,-0.920540214,9.469087601,-1.760118008,0.238806143
9.701776505,1.712621093,-0.873781085,9.445622444,-2.127267122,-0.125167906
9.65591526,1.603946328,-0.862801135,9.432734489,-2.054915667,-0.507128596
9.646296501,1.590670705,-0.849546671,9.662172318,-1.809130907,-0.199313283
9.693998337,1.714300752,-0.942548752,9.748318672,-1.823359847,-0.308677197
9.583005905,2.248080492,-0.930484056,9.78553772,-1.757704973,-0.215476111
9.514697075,2.96184206,-0.910764039,9.799720764,-1.303497195,0.018470457
9.694996834,3.093307734,-1.053700686,9.765470505,-1.209796667,0.308274359
9.807136536,2.594447613,-1.044331431,9.742067337,-1.273286939,0.41305241
9.70949173,1.985994935,-0.87072885,9.748307228,-1.2263273,0.506345987
9.466682434,1.611615896,-0.767481327,9.668634415,-1.227748871,0.498429656
9.232055664,1.479307294,-0.666853547,9.647130013,-1.608726621,0.301829755
9.125519753,1.48839879,-0.696468771,9.65703392,-1.706331372,0.189413428
9.227422714,1.59493053,-0.757228613,9.769202232,-1.457095861,-0.081132226
9.388355255,1.762457252,-0.754987895,9.845541954,-1.261669397,-0.299540669
9.607344627,1.974502444,-0.73938489,9.89379406,-1.410577536,-0.448921233
9.758765221,2.097349882,-0.75880909,9.807023048,-1.648015141,-0.334724188
9.832119942,2.066619873,-0.781238973,9.755147934,-1.689500809,-0.390291393
9.758888245,1.988500953,-0.787580907,9.636695862,-1.690125585,-0.353252769
9.620920181,1.949968338,-0.748834968,9.599683762,-1.770598769,-0.139059722
9.45533371,1.999809861,-0.804819822,9.571809769,-1.622799635,0.289588392
9.352132797,2.056625366,-0.821594,9.559468269,-1.396605253,0.540093362
9.404449463,2.118983269,-0.880944729,9.534691811,-1.389766097,0.529530942
9.446732521,2.191818476,-0.871045232,9.423739433,-1.713833928,0.432593107
9.488746643,2.174907923,-0.925447881,9.358644485,-1.973812699,0.202216581
9.484897614,2.087302923,-0.969957173,9.270359039,-2.252149105,0.043773726
9.483273506,1.96577704,-1.050017118,9.263679504,-2.517567396,-0.179453894
9.448081017,1.840554953,-1.087372422,9.377365112,-2.449100256,-0.192343533
9.394285202,1.787748575,-1.127052665,9.558001518,-2.172443151,-0.225347772
9.393789291,1.751032591,-1.22688663,9.743171692,-1.750640273,-0.400223047
9.414952278,1.896610141,-1.135334492,9.990124702,-1.211280227,-0.716367662
9.524115562,2.225309134,-1.185551286,10.08397865,-1.611989379,-1.157366157
9.666814804,2.308713913,-1.271234632,9.935016632,-2.121128798,-1.467091799
9.6550951,2.177466869,-1.248368382,9.718099594,-2.390189171,-2.030251503
9.523602486,2.138685465,-1.224726796,9.258343697,-3.180093288,-2.899336815
9.530900002,2.277943373,-1.216946483,9.781573296,-3.290325403,-2.506847858
9.215592384,2.601600647,-1.140547395,9.329839706,-2.203619003,-1.184069157
9.356728554,2.326788902,-1.349549174,9.255111694,-2.790218592,-2.032612562
9.296459198,2.323516846,-1.346470952,9.702773094,-2.041891336,-1.025951385
9.335988998,2.174849987,-1.417345762,9.67136097,-1.560773134,-0.36112082
9.547568321,2.124919653,-1.473321795,9.665143967,-1.468286157,0.533558488
9.717801094,2.121901989,-1.491705537,9.541664124,-1.568543434,0.978230655
9.685870171,2.208245993,-1.392942905,9.207240105,-1.738512635,1.437574744
9.623392105,2.167408228,-1.371358395,9.12226963,-2.174716234,1.359662175
9.543469429,2.160271168,-1.476391912,9.340090752,-2.401337147,1.03605938
9.569160461,2.130540848,-1.445495963,9.565106392,-1.701958776,1.002727747
9.592480659,2.03570652,-1.469856858,9.663306236,-1.068320632,0.721403897
9.644991875,1.942371368,-1.451209068,9.864346504,-1.30440557,0.496207148
9.684283257,1.882760644,-1.470480561,9.793398857,-1.553611875,0.32342267
9.740353584,1.883139849,-1.510900497,9.554932594,-2.163743019,0.072752669
9.774112701,1.88399899,-1.522873044,9.32135582,-2.611188889,-0.026492253
9.753120422,1.905959249,-1.520785093,9.259057045,-2.597851276,0.093011476
9.710126877,1.963739872,-1.504573584,9.356686592,-2.153443575,0.490773082
9.643125534,2.01786685,-1.518762946,9.565331459,-1.477489948,0.776758134
9.658596992,2.098940849,-1.45553267,9.77972126,-0.980648637,1.179698467
9.709336281,2.103082418,-1.401511192,9.839972496,-0.923260272,1.356004357
9.746893883,2.145699263,-1.38632226,9.785902023,-1.445220232,1.239243388
9.735198975,2.127806187,-1.405627728,9.534016609,-1.694724083,1.188462019
9.691740036,2.041704655,-1.501396775,9.268533707,-2.137224674,0.762507379
9.653260231,2.003187895,-1.565000415,9.278544426,-2.528993368,0.07815548
9.578569412,2.020809412,-1.597738147,9.304642677,-2.572045326,-0.300356895
9.499640465,2.07608223,-1.614788532,9.373049736,-2.718522549,-0.397108555
9.382890701,2.098029613,-1.617878795,9.378852844,-2.66286993,-0.298755497
9.316329002,2.167373657,-1.65309751,9.43091774,-2.30164814,-0.012975459
9.262155533,2.265568256,-1.66537559,9.41488266,-2.214712858,0.155181676
9.251643181,2.39399457,-1.656722665,9.343545914,-2.138513088,0.298617393
9.283605576,2.476268291,-1.618103266,9.347654343,-2.18144393,0.19078137
9.271830559,2.596036673,-1.61360991,9.422768593,-2.364774227,0.122088328
9.232276917,2.770098209,-1.630883574,9.579589844,-2.145605326,0.175706327
9.165862083,2.852884293,-1.645357251,9.657887459,-1.55339396,0.447027117
9.133948326,2.919620275,-1.611245394,9.583233833,-1.464766145,0.513135612
9.169145584,3.033689022,-1.601541638,9.605140686,-1.457882047,0.196892187
9.243099213,3.118001938,-1.577298999,9.593950272,-1.801943064,-0.108441032
9.25929451,3.138850451,-1.521027446,9.483187675,-2.275392056,-0.327415287
9.273020744,3.004749537,-1.595687032,9.456917763,-2.360438347,-0.409814656
9.280213356,2.801020384,-1.60832119,9.316563606,-2.478897572,-0.359585881
9.309831619,2.655283928,-1.614633679,9.377447128,-2.684555054,-0.593102694
9.329585075,2.66140461,-1.590803981,9.524821281,-2.298453569,-0.352800161
9.311824799,2.772020817,-1.502849221,9.724021912,-1.649620414,-0.211098745
9.346699715,3.032422066,-1.495461941,9.932732582,-1.342693448,-0.105199724
9.482595444,3.104462385,-1.303424835,10.11773396,-0.931606531,0.078786038
9.449513435,2.96739006,-1.166530132,10.05590439,-0.926438928,0.151578799
9.377316475,2.759677887,-1.158987522,9.846148491,-1.157608986,0.276105553
9.482897758,2.587487936,-1.30821538,9.647220612,-1.419963002,0.343395442
9.667136192,2.508459806,-1.407208204,9.410150528,-1.852879405,0.213080257
9.670205116,2.449609041,-1.310665011,9.282140732,-2.170481443,-0.144779205
9.545431137,2.463997364,-1.28336513,9.393352509,-2.225296974,-0.143681124
9.421844482,2.532083035,-1.290143728,9.569974899,-1.909103632,0.034815118
9.388879776,2.61969614,-1.381490827,9.708263397,-1.401156664,0.19226104
9.442502022,2.607599497,-1.342235088,9.95751667,-1.206056476,0.301756889
9.441030502,2.587257147,-1.31176424,9.861150742,-1.387129903,0.255272686
9.435864449,2.65781045,-1.323204875,9.712464333,-1.503260374,-0.000404031
9.465064049,2.783055544,-1.335026026,9.704181671,-1.639001608,-0.267637283
9.466730118,2.920275927,-1.380608916,9.607424736,-1.681706548,-0.481849074
9.485829353,2.981870413,-1.378982306,9.555299759,-1.695900679,-0.50598675
9.672638893,2.977824211,-1.142686129,9.33825779,-1.813648582,-0.296487123
9.913720131,2.997891188,-0.849773228,9.116744041,-1.98789537,-0.237667739
9.945785522,3.055557251,-0.589485049,9.044727325,-2.281920195,-0.223406583
9.789144516,3.004153967,-0.455067098,9.15265274,-2.670037746,-0.009743564
9.533513069,2.931830645,-0.488895714,9.55347538,-1.889483094,0.471841156
9.367660522,2.891257524,-0.506203115,10.01789284,-0.715339124,0.613413572
9.230866432,2.980968475,-0.55133611,10.45705128,-0.331706762,0.788746297
9.135307312,3.202289343,-0.635458291,10.62580299,-0.285477906,0.581122816
9.211011887,3.439000845,-0.772219121,10.65450287,-0.136964038,0.322582871
9.276833534,3.634167671,-0.862479448,10.27413654,-0.441165656,-0.034991294
9.36630249,3.709478855,-1.021415472,9.839688301,-1.202198505,-0.123370029
9.460219383,3.714264631,-1.1268332,9.403621674,-1.650612354,0.003598981
9.551584244,3.73086834,-1.009345651,9.061005592,-1.985488415,0.148996606
9.489706039,3.774861097,-0.939619064,8.887255669,-2.095810175,0.2870076
9.37038517,3.728779793,-0.9643929,9.031323433,-2.019026756,0.539402008
9.257117271,3.51766634,-1.016694546,9.255913734,-1.837518334,0.892593086
9.167056084,3.32236433,-1.158021092,9.666426659,-1.154146791,1.425059319
9.079374313,3.345201731,-1.228144646,9.98610878,-0.458106697,2.187069654
8.976205826,3.56104517,-1.266200781,10.07937336,-0.004824704,2.574832678
8.891383171,3.803943396,-1.32043016,9.958037376,-0.193126559,3.133440733
8.81535244,3.959025621,-1.379924655,9.538022995,-1.029110074,3.195850611
8.751009941,4.058122635,-1.541222334,8.997190475,-1.880776167,2.873855591
8.723526001,4.172828197,-1.594259977,8.514800072,-2.69210434,2.5364604
8.801678658,4.329203129,-1.546188712,8.22949791,-2.986063719,2.090536356
8.892982483,4.409573555,-1.428689718,8.339584351,-2.855807066,1.751228809
8.781431198,4.436517715,-1.326927423,8.607315063,-2.74515605,1.679164171
8.584756851,4.412410259,-1.358368993,9.023031235,-2.597953796,1.25235498
8.461990356,4.253854275,-1.503592491,9.49759388,-2.063831568,1.432707071
8.34597683,4.15667057,-1.605407,9.739439011,-1.231031656,1.365130782
